Date,Station,Total trips
1/1/2023,Airport,3998
1/1/2023,Arts Center,1564
1/1/2023,Ashby,726
1/1/2023,Avondale,704
1/1/2023,Bankhead,323
1/1/2023,Brookhaven,669
1/1/2023,Buckhead,992
1/1/2023,Chamblee,1144
1/1/2023,Civic Center,773
1/1/2023,College Park,2415
1/1/2023,Decatur,730
1/1/2023,Dome/GWCC,2130
1/1/2023,Doraville,1733
1/1/2023,Dunwoody,893
1/1/2023,East Lake,364
1/1/2023,East Point,1837
1/1/2023,Edgewood/Candler Park,270
1/1/2023,Five Points,2582
1/1/2023,Garnett,1020
1/1/2023,Georgia State,549
1/1/2023,H. E. Holmes,1945
1/1/2023,Indian Creek,1618
1/1/2023,Inman Park,580
1/1/2023,Kensington,1307
1/1/2023,King Memorial,632
1/1/2023,Lakewood/Ft McPherson,950
1/1/2023,Lenox,762
1/1/2023,Lindbergh Center,2405
1/1/2023,Medical Center,207
1/1/2023,Midtown,1760
1/1/2023,North Avenue,1380
1/1/2023,North Springs,1070
1/1/2023,Oakland City,1092
1/1/2023,Peachtree Center,2220
1/1/2023,Sandy Springs,435
1/1/2023,Vine City,2625
1/1/2023,West End,1493
1/1/2023,West Lake,749
1/2/2023,Airport,5824
1/2/2023,Arts Center,2294
1/2/2023,Ashby,862
1/2/2023,Avondale,755
1/2/2023,Bankhead,555
1/2/2023,Brookhaven,673
1/2/2023,Buckhead,1009
1/2/2023,Chamblee,1305
1/2/2023,Civic Center,809
1/2/2023,College Park,3457
1/2/2023,Decatur,959
1/2/2023,Dome/GWCC,437
1/2/2023,Doraville,2141
1/2/2023,Dunwoody,991
1/2/2023,East Lake,274
1/2/2023,East Point,2556
1/2/2023,Edgewood/Candler Park,254
1/2/2023,Five Points,3277
1/2/2023,Garnett,917
1/2/2023,Georgia State,824
1/2/2023,H. E. Holmes,1866
1/2/2023,Indian Creek,1427
1/2/2023,Inman Park,784
1/2/2023,Kensington,1767
1/2/2023,King Memorial,664
1/2/2023,Lakewood/Ft McPherson,973
1/2/2023,Lenox,1010
1/2/2023,Lindbergh Center,3144
1/2/2023,Medical Center,280
1/2/2023,Midtown,1830
1/2/2023,North Avenue,1680
1/2/2023,North Springs,1143
1/2/2023,Oakland City,1612
1/2/2023,Peachtree Center,2320
1/2/2023,Sandy Springs,355
1/2/2023,Vine City,1081
1/2/2023,West End,2344
1/2/2023,West Lake,540
1/3/2023,Airport,7669
1/3/2023,Arts Center,3408
1/3/2023,Ashby,591
1/3/2023,Avondale,1136
1/3/2023,Bankhead,776
1/3/2023,Brookhaven,1228
1/3/2023,Buckhead,1577
1/3/2023,Chamblee,1571
1/3/2023,Civic Center,1607
1/3/2023,College Park,4629
1/3/2023,Decatur,1522
1/3/2023,Dome/GWCC,1131
1/3/2023,Doraville,3102
1/3/2023,Dunwoody,1381
1/3/2023,East Lake,428
1/3/2023,East Point,3633
1/3/2023,Edgewood/Candler Park,525
1/3/2023,Five Points,5490
1/3/2023,Garnett,1538
1/3/2023,Georgia State,1809
1/3/2023,H. E. Holmes,2817
1/3/2023,Indian Creek,2039
1/3/2023,Inman Park,997
1/3/2023,Kensington,2482
1/3/2023,King Memorial,936
1/3/2023,Lakewood/Ft McPherson,1508
1/3/2023,Lenox,1316
1/3/2023,Lindbergh Center,4285
1/3/2023,Medical Center,708
1/3/2023,Midtown,2981
1/3/2023,North Avenue,3117
1/3/2023,North Springs,1954
1/3/2023,Oakland City,2110
1/3/2023,Peachtree Center,4004
1/3/2023,Sandy Springs,754
1/3/2023,Vine City,487
1/3/2023,West End,3024
1/3/2023,West Lake,693
1/4/2023,Airport,6308
1/4/2023,Arts Center,3604
1/4/2023,Ashby,1343
1/4/2023,Avondale,1329
1/4/2023,Bankhead,734
1/4/2023,Brookhaven,1720
1/4/2023,Buckhead,1566
1/4/2023,Chamblee,1647
1/4/2023,Civic Center,1555
1/4/2023,College Park,4290
1/4/2023,Decatur,1559
1/4/2023,Dome/GWCC,1399
1/4/2023,Doraville,2610
1/4/2023,Dunwoody,1356
1/4/2023,East Lake,465
1/4/2023,East Point,4197
1/4/2023,Edgewood/Candler Park,490
1/4/2023,Five Points,5075
1/4/2023,Garnett,1334
1/4/2023,Georgia State,1801
1/4/2023,H. E. Holmes,2879
1/4/2023,Indian Creek,1987
1/4/2023,Inman Park,970
1/4/2023,Kensington,2688
1/4/2023,King Memorial,1018
1/4/2023,Lakewood/Ft McPherson,1484
1/4/2023,Lenox,1017
1/4/2023,Lindbergh Center,4317
1/4/2023,Medical Center,753
1/4/2023,Midtown,3177
1/4/2023,North Avenue,2810
1/4/2023,North Springs,1938
1/4/2023,Oakland City,1990
1/4/2023,Peachtree Center,3882
1/4/2023,Sandy Springs,724
1/4/2023,Vine City,565
1/4/2023,West End,3029
1/4/2023,West Lake,639
1/5/2023,Airport,6427
1/5/2023,Arts Center,4006
1/5/2023,Ashby,1194
1/5/2023,Avondale,1453
1/5/2023,Bankhead,895
1/5/2023,Brookhaven,1837
1/5/2023,Buckhead,1766
1/5/2023,Chamblee,1909
1/5/2023,Civic Center,1912
1/5/2023,College Park,5396
1/5/2023,Decatur,1772
1/5/2023,Dome/GWCC,954
1/5/2023,Doraville,3247
1/5/2023,Dunwoody,1818
1/5/2023,East Lake,592
1/5/2023,East Point,4133
1/5/2023,Edgewood/Candler Park,612
1/5/2023,Five Points,5989
1/5/2023,Garnett,1437
1/5/2023,Georgia State,2128
1/5/2023,H. E. Holmes,3236
1/5/2023,Indian Creek,2148
1/5/2023,Inman Park,1203
1/5/2023,Kensington,2837
1/5/2023,King Memorial,1055
1/5/2023,Lakewood/Ft McPherson,1609
1/5/2023,Lenox,1215
1/5/2023,Lindbergh Center,4973
1/5/2023,Medical Center,765
1/5/2023,Midtown,3459
1/5/2023,North Avenue,3407
1/5/2023,North Springs,2033
1/5/2023,Oakland City,2486
1/5/2023,Peachtree Center,4549
1/5/2023,Sandy Springs,767
1/5/2023,Vine City,589
1/5/2023,West End,3567
1/5/2023,West Lake,783
1/6/2023,Airport,6433
1/6/2023,Arts Center,3811
1/6/2023,Ashby,873
1/6/2023,Avondale,1387
1/6/2023,Bankhead,776
1/6/2023,Brookhaven,1331
1/6/2023,Buckhead,1438
1/6/2023,Chamblee,1900
1/6/2023,Civic Center,1595
1/6/2023,College Park,5159
1/6/2023,Decatur,1596
1/6/2023,Dome/GWCC,352
1/6/2023,Doraville,3177
1/6/2023,Dunwoody,1489
1/6/2023,East Lake,454
1/6/2023,East Point,3055
1/6/2023,Edgewood/Candler Park,791
1/6/2023,Five Points,6069
1/6/2023,Garnett,1558
1/6/2023,Georgia State,1887
1/6/2023,H. E. Holmes,3267
1/6/2023,Indian Creek,1999
1/6/2023,Inman Park,1162
1/6/2023,Kensington,2645
1/6/2023,King Memorial,1029
1/6/2023,Lakewood/Ft McPherson,1442
1/6/2023,Lenox,1437
1/6/2023,Lindbergh Center,4626
1/6/2023,Medical Center,644
1/6/2023,Midtown,3051
1/6/2023,North Avenue,3215
1/6/2023,North Springs,1839
1/6/2023,Oakland City,2488
1/6/2023,Peachtree Center,4536
1/6/2023,Sandy Springs,691
1/6/2023,Vine City,540
1/6/2023,West End,3478
1/6/2023,West Lake,724
1/7/2023,Airport,5442
1/7/2023,Arts Center,2382
1/7/2023,Ashby,718
1/7/2023,Avondale,954
1/7/2023,Bankhead,366
1/7/2023,Brookhaven,835
1/7/2023,Buckhead,919
1/7/2023,Chamblee,1055
1/7/2023,Civic Center,1034
1/7/2023,College Park,3170
1/7/2023,Decatur,959
1/7/2023,Dome/GWCC,745
1/7/2023,Doraville,2055
1/7/2023,Dunwoody,1116
1/7/2023,East Lake,275
1/7/2023,East Point,2832
1/7/2023,Edgewood/Candler Park,466
1/7/2023,Five Points,3240
1/7/2023,Garnett,544
1/7/2023,Georgia State,968
1/7/2023,H. E. Holmes,1939
1/7/2023,Indian Creek,1245
1/7/2023,Inman Park,782
1/7/2023,Kensington,1688
1/7/2023,King Memorial,577
1/7/2023,Lakewood/Ft McPherson,849
1/7/2023,Lenox,1202
1/7/2023,Lindbergh Center,3312
1/7/2023,Medical Center,238
1/7/2023,Midtown,1991
1/7/2023,North Avenue,2008
1/7/2023,North Springs,1046
1/7/2023,Oakland City,1697
1/7/2023,Peachtree Center,2819
1/7/2023,Sandy Springs,372
1/7/2023,Vine City,336
1/7/2023,West End,2318
1/7/2023,West Lake,502
1/8/2023,Airport,6366
1/8/2023,Arts Center,2375
1/8/2023,Ashby,475
