"week","Mercedes-Benz Stadium Est. Attendance","State Farm Arena Est. Attendance","GWCC Est. Attendance","Other Venues (AmericasMart, Parks)","Avg temp","total precipitation (in)","rain more than 10in","station","ridership"
2023-01-02,69000,1500,3000,1500,53.95,3.3,0,"Airport",44469
2023-01-02,69000,1500,3000,1500,53.95,3.3,0,"Arts Center",21880
2023-01-02,69000,1500,3000,1500,53.95,3.3,0,"Buckhead",9164
2023-01-02,69000,1500,3000,1500,53.95,3.3,0,"Chamblee",10668
2023-01-02,69000,1500,3000,1500,53.95,3.3,0,"College Park",30151
2023-01-02,69000,1500,3000,1500,53.95,3.3,0,"Dome/GWCC",11512
2023-01-02,69000,1500,3000,1500,53.95,3.3,0,"Doraville",18753
2023-01-02,69000,1500,3000,1500,53.95,3.3,0,"Edgewood/Candler Park",3610
2023-01-02,69000,1500,3000,1500,53.95,3.3,0,"Five Points",31904
2023-01-02,69000,1500,3000,1500,53.95,3.3,0,"Georgia State",10325
2023-01-02,69000,1500,3000,1500,53.95,3.3,0,"Medical Center",3662
2023-01-02,69000,1500,3000,1500,53.95,3.3,0,"Midtown",18502
2023-01-09,1500,16500,3000,50000,48.07,0.93,0,"Airport",44471
2023-01-09,1500,16500,3000,50000,48.07,0.93,0,"Arts Center",25381
2023-01-09,1500,16500,3000,50000,48.07,0.93,0,"Buckhead",12035
2023-01-09,1500,16500,3000,50000,48.07,0.93,0,"Chamblee",13240
2023-01-09,1500,16500,3000,50000,48.07,0.93,0,"College Park",33679
2023-01-09,1500,16500,3000,50000,48.07,0.93,0,"Dome/GWCC",7875
2023-01-09,1500,16500,3000,50000,48.07,0.93,0,"Doraville",23177
2023-01-09,1500,16500,3000,50000,48.07,0.93,0,"Edgewood/Candler Park",3871
2023-01-09,1500,16500,3000,50000,48.07,0.93,0,"Five Points",38660
2023-01-09,1500,16500,3000,50000,48.07,0.93,0,"Georgia State",16495
2023-01-09,1500,16500,3000,50000,48.07,0.93,0,"Medical Center",4644
2023-01-09,1500,16500,3000,50000,48.07,0.93,0,"Midtown",23250
2023-01-16,1500,49500,3000,1500,51.13,0.29,0,"Airport",39537
2023-01-16,1500,49500,3000,1500,51.13,0.29,0,"Arts Center",23318
2023-01-16,1500,49500,3000,1500,51.13,0.29,0,"Buckhead",9895
2023-01-16,1500,49500,3000,1500,51.13,0.29,0,"Chamblee",12433
2023-01-16,1500,49500,3000,1500,51.13,0.29,0,"College Park",29252
2023-01-16,1500,49500,3000,1500,51.13,0.29,0,"Dome/GWCC",8626
2023-01-16,1500,49500,3000,1500,51.13,0.29,0,"Doraville",21055
2023-01-16,1500,49500,3000,1500,51.13,0.29,0,"Edgewood/Candler Park",3782
2023-01-16,1500,49500,3000,1500,51.13,0.29,0,"Five Points",36385
2023-01-16,1500,49500,3000,1500,51.13,0.29,0,"Georgia State",14697
2023-01-16,1500,49500,3000,1500,51.13,0.29,0,"Medical Center",3912
2023-01-16,1500,49500,3000,1500,51.13,0.29,0,"Midtown",21504
2023-01-23,1500,16500,28000,1500,43.08,2.45,0,"Airport",41075
2023-01-23,1500,16500,28000,1500,43.08,2.45,0,"Arts Center",25206
2023-01-23,1500,16500,28000,1500,43.08,2.45,0,"Buckhead",12270
2023-01-23,1500,16500,28000,1500,43.08,2.45,0,"Chamblee",13167
2023-01-23,1500,16500,28000,1500,43.08,2.45,0,"College Park",31989
2023-01-23,1500,16500,28000,1500,43.08,2.45,0,"Dome/GWCC",7993
2023-01-23,1500,16500,28000,1500,43.08,2.45,0,"Doraville",22059
2023-01-23,1500,16500,28000,1500,43.08,2.45,0,"Edgewood/Candler Park",4093
2023-01-23,1500,16500,28000,1500,43.08,2.45,0,"Five Points",40979
2023-01-23,1500,16500,28000,1500,43.08,2.45,0,"Georgia State",16357
2023-01-23,1500,16500,28000,1500,43.08,2.45,0,"Medical Center",4569
2023-01-23,1500,16500,28000,1500,43.08,2.45,0,"Midtown",22096
2023-01-30,1500,17000,5000,1500,48.9,1.95,0,"Airport",41826
2023-01-30,1500,17000,5000,1500,48.9,1.95,0,"Arts Center",24000
2023-01-30,1500,17000,5000,1500,48.9,1.95,0,"Buckhead",10723
2023-01-30,1500,17000,5000,1500,48.9,1.95,0,"Chamblee",13439
2023-01-30,1500,17000,5000,1500,48.9,1.95,0,"College Park",33506
2023-01-30,1500,17000,5000,1500,48.9,1.95,0,"Dome/GWCC",7939
2023-01-30,1500,17000,5000,1500,48.9,1.95,0,"Doraville",22275
2023-01-30,1500,17000,5000,1500,48.9,1.95,0,"Edgewood/Candler Park",3942
2023-01-30,1500,17000,5000,1500,48.9,1.95,0,"Five Points",40679
2023-01-30,1500,17000,5000,1500,48.9,1.95,0,"Georgia State",16397
2023-01-30,1500,17000,5000,1500,48.9,1.95,0,"Medical Center",4243
2023-01-30,1500,17000,5000,1500,48.9,1.95,0,"Midtown",21932
2023-02-06,1500,33000,3000,1500,52.99,0.49,0,"Airport",40002
2023-02-06,1500,33000,3000,1500,52.99,0.49,0,"Arts Center",25800
2023-02-06,1500,33000,3000,1500,52.99,0.49,0,"Buckhead",11647
2023-02-06,1500,33000,3000,1500,52.99,0.49,0,"Chamblee",12914
2023-02-06,1500,33000,3000,1500,52.99,0.49,0,"College Park",33705
2023-02-06,1500,33000,3000,1500,52.99,0.49,0,"Dome/GWCC",9027
2023-02-06,1500,33000,3000,1500,52.99,0.49,0,"Doraville",22868
2023-02-06,1500,33000,3000,1500,52.99,0.49,0,"Edgewood/Candler Park",3519
2023-02-06,1500,33000,3000,1500,52.99,0.49,0,"Five Points",41098
2023-02-06,1500,33000,3000,1500,52.99,0.49,0,"Georgia State",15834
2023-02-06,1500,33000,3000,1500,52.99,0.49,0,"Medical Center",4419
2023-02-06,1500,33000,3000,1500,52.99,0.49,0,"Midtown",22958
2023-02-13,1500,16500,53000,1500,50.96,1.67,0,"Airport",41792
2023-02-13,1500,16500,53000,1500,50.96,1.67,0,"Arts Center",25554
2023-02-13,1500,16500,53000,1500,50.96,1.67,0,"Buckhead",9438
2023-02-13,1500,16500,53000,1500,50.96,1.67,0,"Chamblee",12988
2023-02-13,1500,16500,53000,1500,50.96,1.67,0,"College Park",33736
2023-02-13,1500,16500,53000,1500,50.96,1.67,0,"Dome/GWCC",9564
2023-02-13,1500,16500,53000,1500,50.96,1.67,0,"Doraville",22478
2023-02-13,1500,16500,53000,1500,50.96,1.67,0,"Edgewood/Candler Park",4380
2023-02-13,1500,16500,53000,1500,50.96,1.67,0,"Five Points",41180
2023-02-13,1500,16500,53000,1500,50.96,1.67,0,"Georgia State",15699
2023-02-13,1500,16500,53000,1500,50.96,1.67,0,"Medical Center",4137
2023-02-13,1500,16500,53000,1500,50.96,1.67,0,"Midtown",22751
2023-02-20,67500,49500,5000,1500,61.91,0.27,0,"Airport",43701
2023-02-20,67500,49500,5000,1500,61.91,0.27,0,"Arts Center",26037
2023-02-20,67500,49500,5000,1500,61.91,0.27,0,"Buckhead",8059
2023-02-20,67500,49500,5000,1500,61.91,0.27,0,"Chamblee",15167
2023-02-20,67500,49500,5000,1500,61.91,0.27,0,"College Park",33475
2023-02-20,67500,49500,5000,1500,61.91,0.27,0,"Dome/GWCC",13485
2023-02-20,67500,49500,5000,1500,61.91,0.27,0,"Doraville",24778
2023-02-20,67500,49500,5000,1500,61.91,0.27,0,"Edgewood/Candler Park",5525
2023-02-20,67500,49500,5000,1500,61.91,0.27,0,"Five Points",40419
2023-02-20,67500,49500,5000,1500,61.91,0.27,0,"Georgia State",14678
2023-02-20,67500,49500,5000,1500,61.91,0.27,0,"Medical Center",3197
2023-02-20,67500,49500,5000,1500,61.91,0.27,0,"Midtown",23632
2023-02-27,1500,33000,3000,1500,63.7,0.81,0,"Airport",43160
2023-02-27,1500,33000,3000,1500,63.7,0.81,0,"Arts Center",26608
2023-02-27,1500,33000,3000,1500,63.7,0.81,0,"Buckhead",10962
2023-02-27,1500,33000,3000,1500,63.7,0.81,0,"Chamblee",13976
2023-02-27,1500,33000,3000,1500,63.7,0.81,0,"College Park",35815
2023-02-27,1500,33000,3000,1500,63.7,0.81,0,"Dome/GWCC",10871
2023-02-27,1500,33000,3000,1500,63.7,0.81,0,"Doraville",23681
2023-02-27,1500,33000,3000,1500,63.7,0.81,0,"Edgewood/Candler Park",4707
2023-02-27,1500,33000,3000,1500,63.7,0.81,0,"Five Points",42495
2023-02-27,1500,33000,3000,1500,63.7,0.81,0,"Georgia State",16525
2023-02-27,1500,33000,3000,1500,63.7,0.81,0,"Medical Center",4616
2023-02-27,1500,33000,3000,1500,63.7,0.81,0,"Midtown",24445
2023-03-06,1500,16500,3000,1500,57.13,0.75,0,"Airport",44496
2023-03-06,1500,16500,3000,1500,57.13,0.75,0,"Arts Center",26399
2023-03-06,1500,16500,3000,1500,57.13,0.75,0,"Buckhead",10818
2023-03-06,1500,16500,3000,1500,57.13,0.75,0,"Chamblee",13945
2023-03-06,1500,16500,3000,1500,57.13,0.75,0,"College Park",33074
2023-03-06,1500,16500,3000,1500,57.13,0.75,0,"Dome/GWCC",7742
2023-03-06,1500,16500,3000,1500,57.13,0.75,0,"Doraville",22876
2023-03-06,1500,16500,3000,1500,57.13,0.75,0,"Edgewood/Candler Park",3804
2023-03-06,1500,16500,3000,1500,57.13,0.75,0,"Five Points",43557
2023-03-06,1500,16500,3000,1500,57.13,0.75,0,"Georgia State",15980
2023-03-06,1500,16500,3000,1500,57.13,0.75,0,"Medical Center",3986
2023-03-06,1500,16500,3000,1500,57.13,0.75,0,"Midtown",23459
2023-03-13,43000,33000,23000,1500,48.53,0.98,0,"Airport",43933
2023-03-13,43000,33000,23000,1500,48.53,0.98,0,"Arts Center",25385
2023-03-13,43000,33000,23000,1500,48.53,0.98,0,"Buckhead",10266
2023-03-13,43000,33000,23000,1500,48.53,0.98,0,"Chamblee",12681
2023-03-13,43000,33000,23000,1500,48.53,0.98,0,"College Park",31605
2023-03-13,43000,33000,23000,1500,48.53,0.98,0,"Dome/GWCC",11823
2023-03-13,43000,33000,23000,1500,48.53,0.98,0,"Doraville",21390
2023-03-13,43000,33000,23000,1500,48.53,0.98,0,"Edgewood/Candler Park",4290
2023-03-13,43000,33000,23000,1500,48.53,0.98,0,"Five Points",36995
2023-03-13,43000,33000,23000,1500,48.53,0.98,0,"Georgia State",12059
2023-03-13,43000,33000,23000,1500,48.53,0.98,0,"Medical Center",4731
2023-03-13,43000,33000,23000,1500,48.53,0.98,0,"Midtown",23429
2023-03-20,1500,49500,3000,1500,53.58,0.65,0,"Airport",44571
2023-03-20,1500,49500,3000,1500,53.58,0.65,0,"Arts Center",26012
